video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at,search_term,city
/watch?v=ySpn2ANReAY&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@ozenkaran6853,Ozen Karan,Smooth Jazz Chicago One Hour This is a tribute to the radio station WNUA 95 Point 5 fm,8.4K,7 years,This is a tribute to the radio station WNUA 95 Point 5 fm Sit back relax and enjoy I hope this one gets over 5 million views The best ...,2024-01-29 03:05:27.461496,jazz music,Chicago
/watch?v=lt3sEBMuuAE&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@smoothjazzpiano1492,Smooth Piano Jazz,Chicago Night Jazz - Smooth Night Jazz- Soft Piano Jazz Instrumental Music - Calm Background Music,2.9K,8 months,Chicago Night Jazz - Smooth Night Jazz- Soft Piano Jazz Instrumental Music - Calm Background Music ☕ Discover the best jazz ...,2024-01-29 03:05:27.465565,jazz music,Chicago
/watch?v=Se5HYQnlm7g&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@macyhaverly3290,Macy Haverly,“All That Jazz” Chicago Floor Music •Cut Version•,8.8K,4 years,"This is my audio, I cut my this myself. Inspired by~~jazzigymnast Contact me for more information ;)",2024-01-29 03:05:27.470403,jazz music,Chicago
/watch?v=8NtBklT7H4k&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@famtravelyt,FAMTravel,Chicago Driving Tour 2022 4K - Relaxing Jazz Music while Driving,90K,1 year,I want to tell you that I care about your valuable time. Thanks for sharing your valuable time and reading this description.,2024-01-29 03:05:27.473575,jazz music,Chicago
/watch?v=icbkV8rIQA8&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@revelnave,revelnave,ALL THAT JAZZ - Caroline O'Connor,1.4M,14 years,Caroline O'Connor and the Australian cast of Chicago performs All That Jazz on Australian TV. I do not own this.,2024-01-29 03:05:27.476951,jazz music,Chicago
/watch?v=W30-yl6OCss&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@ShineMusic9-fu5ic,Relaxing Jazz BGM,Winter Chicago Night Jazz - Relaxing Smooth Piano Jazz Music ~ Soft Background Jazz Music for Sleep,1.3K,Streamed 1 month,"Winter Chicago Night Jazz - Relaxing Smooth Piano Jazz Music ~ Soft Background Jazz Music for Sleep ""Winter Chicago Night ...",2024-01-29 03:05:27.480548,jazz music,Chicago
/watch?v=sFa4JVU4sO8&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@TheMusicChannel,The Music Channel,"Catherine Zeta-Jones, Renée Zellweger - Overture - And All That Jazz",1.6M,7 years,HD.,2024-01-29 03:05:27.485806,jazz music,Chicago
/watch?v=bDDmSbOqLms&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@bbcstrictly,BBC Strictly Come Dancing,Group Dance: 'All That Jazz' from Chicago - Strictly Come Dancing 2016: Week 11,549K,7 years,#strictly #bbcstrictly #strictlycomedancing.,2024-01-29 03:05:27.489120,jazz music,Chicago
/watch?v=bFnIhTrjiFY&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@SM3-eq1jr,Smooth Jazz BGM,New York Night Jazz - Tender Piano Jazz & Smooth Instrumental Jazz Music | Relaxing Background Music,649K,9 months,New York Night Jazz - Tender Piano Jazz & Smooth Instrumental Jazz Music | Relaxing Background Music #nightjazz ...,2024-01-29 03:05:27.492640,jazz music,Chicago
/watch?v=jWXRD3N51C0&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@GleeScenes,Glee Scenes,Glee - All That Jazz (Full Performance + Scene) 4x09,7.3M,6 years,All Rights to Fox Episode: Swan Song.,2024-01-29 03:05:27.495530,jazz music,Chicago
/watch?v=Ruire-i1_Bo&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@PLAYaudioTheSmoothJazzChannel,PLAYaudio - Smooth Jazz and more,"Chicago City Jazz Vol 2. [City Jazz, Smooth Jazz]",4K,4 days,"Chicago City Jazz Vol 2. [City Jazz, Smooth Jazz] Hello PLAYaudio family! In this weeks City Jazz poll you had the choice ...",2024-01-29 03:05:27.501924,jazz music,Chicago
/watch?v=lM9H1eYz-lc&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@rockettes,The Rockettes,"Rockettes ""All That Jazz"" Fosse Dance Tribute",7.1M,3 years,"From the Great Stage at Radio City Music Hall! The Rockettes perform a unique one-take dance video in celebration of Fosse, ...",2024-01-29 03:05:27.505174,jazz music,Chicago
/watch?v=_sI_Ps7JSEk&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@jazznbluesexperience,Jazz and Blues Experience,New York Jazz Lounge - Bar Jazz Classics,89M,7 years,Find your favorite songs and artists and experience the best of jazz music and blues music. Subscribe for free to stay connected to ...,2024-01-29 03:05:27.509929,jazz music,Chicago
/watch?v=zU9JR1zlFfE&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@RelaxMusicRecords,Relax Music,Relax Music - New Orleans Dreams - Smooth Jazz Trumpet Lounge Music,348K,2 years,"Our Jazz Instrumental Music can be used for relaxing, calm, romantic dinner, cooking, work, and relaxation. This relaxing Jazz ...",2024-01-29 03:05:27.514830,jazz music,Chicago
/watch?v=PQiAJRlp9cI&pp=ygUSamF6eiBtdXNpYyBDaGljYWdv,/@ChicagoDCASE,Chicago DCASE,2022 Chicago Jazz Festival,978,1 year,Thanks all for coming. See you next year! ChicagoJazzFestival.us #ChicagoJazzFestival.,2024-01-29 03:05:27.518418,jazz music,Chicago
